organisationunitname,region_malaria,zone_malaria,match_type,confidence,ADM3_PCODE,ADM3_EN_ref,ADM2_EN_ref,ADM1_EN_ref
Addis Ketema Sub City,Addis Ababa City Administration,Addis Ketema Sub City,exact_in_cohort,100,ET140108,Addis Ketema,Region 14,Addis Ababa
Akaki Kality Sub City,Addis Ababa City Administration,Akaki Kality Sub City,exact_in_cohort,100,ET140101,Akaki Kality,Region 14,Addis Ababa
Arada Sub City,Addis Ababa City Administration,Arada Sub City,exact_in_cohort,100,ET140109,Arada,Region 14,Addis Ababa
Bole Sub City,Addis Ababa City Administration,Bole Sub City,exact_in_cohort,100,ET140104,Bole,Region 14,Addis Ababa
Gulele Sub City,Addis Ababa City Administration,Gulele Sub City,exact_in_cohort,100,ET140110,Gulele,Region 14,Addis Ababa
Kirkos Sub City,Addis Ababa City Administration,Kirkos Sub City,exact_in_cohort,100,ET140106,Kirkos,Region 14,Addis Ababa
Kolfe Subcity,Addis Ababa City Administration,Kolfe Subcity,fuzzy_in_cohort,90,ET140103,Kolfe Keraniyo,Region 14,Addis Ababa
Lemi Kura Sub City,Addis Ababa City Administration,Lemi Kura Sub City,exact_in_cohort,100,ET140111,Lemi Kura,Region 14,Addis Ababa
Lideta Sub City,Addis Ababa City Administration,Lideta Sub City,exact_in_cohort,100,ET140105,Lideta,Region 14,Addis Ababa
Nifas Silk Lafto Sub City,Addis Ababa City Administration,Nifas Silk Lafto Sub City,exact_in_cohort,100,ET140102,Nifas Silk Lafto,Region 14,Addis Ababa
Yeka Sub City,Addis Ababa City Administration,Yeka Sub City,exact_in_cohort,100,ET140107,Yeka,Region 14,Addis Ababa
Adaar Woreda,Afar Region,Zone 1 Zone,fuzzy_in_cohort,88,ET020109,Adar,Awsi /Zone 1,Afar
Afambo Woreda,Afar Region,Zone 1 Zone,exact_in_cohort,100,ET020104,Afambo,Awsi /Zone 1,Afar
Chifra City Administration,Afar Region,Zone 1 Zone,exact_in_cohort,100,ET020106,Chifra,Awsi /Zone 1,Afar
Chifra Woreda,Afar Region,Zone 1 Zone,exact_in_cohort,100,ET020106,Chifra,Awsi /Zone 1,Afar
Dubti City Administration,Afar Region,Zone 1 Zone,exact_in_cohort,100,ET020101,Dubti,Awsi /Zone 1,Afar
Dubti Woreda,Afar Region,Zone 1 Zone,exact_in_cohort,100,ET020101,Dubti,Awsi /Zone 1,Afar
Elidar Woreda,Afar Region,Zone 1 Zone,exact_in_cohort,100,ET020102,Elidar,Awsi /Zone 1,Afar
Kori Woreda,Afar Region,Zone 1 Zone,exact_in_cohort,100,ET020108,Kori,Awsi /Zone 1,Afar
Mille City Administration,Afar Region,Zone 1 Zone,fuzzy_in_cohort,88,ET020105,Mile,Awsi /Zone 1,Afar
Mille Woreda,Afar Region,Zone 1 Zone,fuzzy_in_cohort,88,ET020105,Mile,Awsi /Zone 1,Afar
Semera-Logia Kentiba,Afar Region,Zone 1 Zone,fuzzy_in_cohort,88,ET020198,Samera Logiya town,Awsi /Zone 1,Afar
Abala City Administration,Afar Region,Zone 2 Zone,fuzzy_in_cohort,90,ET020203,Abaala,Kilbati /Zone2,Afar
Abala Woreda,Afar Region,Zone 2 Zone,fuzzy_in_cohort,90,ET020203,Abaala,Kilbati /Zone2,Afar
Afdera Woreda,Afar Region,Zone 2 Zone,exact_in_cohort,100,ET020207,Afdera,Kilbati /Zone2,Afar
Berahle Woreda,Afar Region,Zone 2 Zone,fuzzy_in_cohort,93,ET020205,Berahile,Kilbati /Zone2,Afar
Bidu Woreda,Afar Region,Zone 2 Zone,exact_in_cohort,100,ET020208,Bidu,Kilbati /Zone2,Afar
Dalol Woreda,Afar Region,Zone 2 Zone,exact_in_cohort,100,ET020206,Dalol,Kilbati /Zone2,Afar
Amibara Woreda,Afar Region,Zone 3 Zone,exact_in_cohort,100,ET020301,Amibara,Gabi /Zone 3,Afar
Argoba Special Woreda,Afar Region,Zone 3 Zone,exact_global,95,ET030401,Argoba,South Wello,Amhara
Awash Fenteale Woreda,Afar Region,Zone 3 Zone,fuzzy_in_cohort,90,ET020302,Awash,Gabi /Zone 3,Afar
Awash Town,Afar Region,Zone 3 Zone,exact_in_cohort,100,ET020302,Awash,Gabi /Zone 3,Afar
Dulecha Woreda,Afar Region,Zone 3 Zone,exact_in_cohort,100,ET020304,Dulecha,Gabi /Zone 3,Afar
Gewane Woreda,Afar Region,Zone 3 Zone,exact_in_cohort,100,ET020303,Gewane,Gabi /Zone 3,Afar
Hanruka Woreda,Afar Region,Zone 3 Zone,exact_in_cohort,100,ET020307,Hanruka,Gabi /Zone 3,Afar
Awura Woreda,Afar Region,Zone 4 Zone,fuzzy_in_cohort,88,ET020401,Awra (AF),Fanti /Zone 4,Afar
Ewa Woreda,Afar Region,Zone 4 Zone,fuzzy_in_cohort,90,ET020303,Gewane,Gabi /Zone 3,Afar
Gulina Woreda,Afar Region,Zone 4 Zone,exact_in_cohort,100,ET020405,Gulina,Fanti /Zone 4,Afar
Teru Woreda,Afar Region,Zone 4 Zone,exact_in_cohort,100,ET020403,Teru,Fanti /Zone 4,Afar
Yallo Woreda,Afar Region,Zone 4 Zone,fuzzy_in_cohort,88,ET020404,Yalo,Fanti /Zone 4,Afar
Hadeleala Woreda,Afar Region,Zone 5 Zone,fuzzy_in_cohort,94,ET020505,Hadelela,Hari /Zone 5,Afar
Ankasha Guagusa Woreda,Amhara Region,Awi Zone,fuzzy_in_cohort,90,ET030903,Ankasha,Awi,Amhara
Ayehu Guagusa Woreda,Amhara Region,Awi Zone,fuzzy_in_cohort,96,ET030908,Ayehu Guwagusa,Awi,Amhara
Banja Woreda,Amhara Region,Awi Zone,exact_in_cohort,100,ET030902,Banja,Awi,Amhara
Chagni Town,Amhara Region,Awi Zone,exact_in_cohort,100,ET030999,Chagni town,Awi,Amhara
Dangla Town,Amhara Region,Awi Zone,fuzzy_in_cohort,92,ET030901,Dangila,Awi,Amhara
Guagusa Shikuda Woreda,Amhara Region,Awi Zone,fuzzy_in_cohort,96,ET030907,Guagusa Shikudad,Awi,Amhara
Guangua Woreda,Amhara Region,Awi Zone,exact_in_cohort,100,ET030904,Guangua,Awi,Amhara
Injibara Town,Amhara Region,Awi Zone,exact_in_cohort,100,ET030996,Injibara town,Awi,Amhara
Jawi Woreda,Amhara Region,Awi Zone,exact_in_cohort,100,ET030906,Jawi,Awi,Amhara
Zigem Woreda,Amhara Region,Awi Zone,exact_in_cohort,100,ET030997,Zigem,Awi,Amhara
Alefa Woreda,Amhara Region,Central Gondar Zone,exact_in_cohort,100,ET031115,Alefa,Central Gondar,Amhara
Chilga Woreda,Amhara Region,Central Gondar Zone,fuzzy_in_cohort,95,ET031106,Chilga 1,Central Gondar,Amhara
East Belesa Woreda,Amhara Region,Central Gondar Zone,exact_in_cohort,100,ET031117,East Belesa,Central Gondar,Amhara
East Dembia Woreda,Amhara Region,Central Gondar Zone,exact_in_cohort,100,ET031111,East Dembia,Central Gondar,Amhara
Gondar Zuriya Woreda,Amhara Region,Central Gondar Zone,fuzzy_in_cohort,90,ET031118,Gondar town,Central Gondar,Amhara
Kinfaze Begela,Amhara Region,Central Gondar Zone,fuzzy_in_cohort,96,ET031122,Kinfaz Begela,Central Gondar,Amhara
Lay Armacho Woreda,Amhara Region,Central Gondar Zone,exact_in_cohort,100,ET031108,Lay Armacho,Central Gondar,Amhara
Tach Armacho Woreda,Amhara Region,Central Gondar Zone,exact_in_cohort,100,ET031120,Tach Armacho,Central Gondar,Amhara
Takusa Woreda,Amhara Region,Central Gondar Zone,exact_in_cohort,100,ET031121,Takusa,Central Gondar,Amhara
Tegede Woreda,Amhara Region,Central Gondar Zone,exact_in_cohort,100,ET031107,Tegede,Central Gondar,Amhara
West Belesa Woreda,Amhara Region,Central Gondar Zone,exact_in_cohort,100,ET031116,West Belesa,Central Gondar,Amhara
West Dembia Woreda,Amhara Region,Central Gondar Zone,fuzzy_in_cohort,95,ET031125,West Dembiya,Central Gondar,Amhara
Aneded Woreda,Amhara Region,East Gojjam Zone,exact_in_cohort,100,ET030617,Aneded,East Gojam,Amhara
Awabel Woreda,Amhara Region,East Gojjam Zone,exact_in_cohort,100,ET030612,Awabel,East Gojam,Amhara
