organisationunitname,region_malaria,zone_malaria,normalized,top3_candidates,ADM3_PCODE_suggested,ADM3_PCODE_final,note
Aysita City Admin Woreda,Afar Region,Zone 1 Zone,aysita,Dita|Southern Ethiopi/Gamo|ET071008|score=77 ;; Bita|South West Ethiopia/Kefa|ET110210|score=77 ;; Asayita|Afar/Awsi /Zone 1|ET020103|score=76,,ET020103,auto:in_region(score=76) -> Asayita
Ayssaita Woreda,Afar Region,Zone 1 Zone,ayssaita,Asayita|Afar/Awsi /Zone 1|ET020103|score=80 ;; Dita|Southern Ethiopi/Gamo|ET071008|score=77 ;; Bita|South West Ethiopia/Kefa|ET110210|score=77,,ET020103,auto:in_region(score=80) -> Asayita
Erabti Woreda,Afar Region,Zone 2 Zone,erabti,[SUGGESTED] Erebti|Afar/Kilbati /Zone2|ET020201|score=83 ;; Erebti|Afar/Kilbati /Zone2|ET020201|score=83 ;; Dera (AM)|Amhara/South Gondar|ET030209|score=77 ;; Bati|Amhara/Oromia|ET031002|score=77,ET020201,ET020201,auto:suggested(82-87)
Koneba Woreda,Afar Region,Zone 2 Zone,koneba,Kunneba|Afar/Kilbati /Zone2|ET020202|score=76 ;; Kemba|Southern Ethiopi/Gamo|ET071011|score=72 ;; Konta|South West Ethiopia/Konta Special|ET110601|score=72,,ET020202,auto:in_region(score=76) -> Kunneba
Magale Woreda,Afar Region,Zone 2 Zone,magale,[SUGGESTED] Megale|Afar/Kilbati /Zone2|ET020204|score=83 ;; Ale|Oromia/Ilu Aba Bora|ET040311|score=90 ;; Megale|Afar/Kilbati /Zone2|ET020204|score=83 ;; Alle Special|Southern Ethiopi/Alle|ET071205|score=77,ET020204,ET020204,auto:suggested(82-87)
Wassama Woreda,Afar Region,Zone 2 Zone,wassama,Rama|Tigray/Central|ET010214|score=77 ;; Jama|Amhara/South Wello|ET030414|score=77 ;; Dama|Oromia/Guji|ET041408|score=77,,,auto:no_match_above_floor -> null climate
Abida Woreda,Afar Region,Zone 3 Zone,abida,Sabian|Dire Dawa/Dire Dawa urban|ET150103|score=72 ;; Lagahida|Somali/Erer|ET050407|score=72 ;; May Gaba|Tigray/Western|ET010509|score=67,,,auto:no_match_above_floor -> null climate
Adobtele Town Administration,Afar Region,Zone 3 Zone,adobtele,Ale|Oromia/Ilu Aba Bora|ET040311|score=72 ;; Robe|Oromia/Arsi|ET040812|score=67 ;; Doba|Oromia/West Hararge|ET040902|score=67,,,auto:no_match_above_floor -> null climate
Buremedaytu Woreda,Afar Region,Zone 3 Zone,buremedaytu,Bure (AM)|Amhara/West Gojam|ET030710|score=90 ;; Bura|Sidama/Sidama|ET160024|score=77 ;; Rayitu|Oromia/East Bale|ET042104|score=72,,ET030710,auto:global(score=90) -> Bure (AM)
Galalo Woreda,Afar Region,Zone 3 Zone,galalo,Yalo|Afar/Fanti /Zone 4|ET020404|score=77 ;; Gablalu|Somali/Siti|ET050199|score=76 ;; Kelete Awelallo|Tigray/Eastern|ET010306|score=72,,ET020404,auto:in_region(score=77) -> Yalo
Mebay Woreda,Afar Region,Zone 4 Zone,mebay,Debay Telatgen|Amhara/East Gojam|ET030607|score=72 ;; May Tsebri town|Tigray/North Western|ET010116|score=67 ;; Tsaeda Emba|Tigray/Eastern|ET010314|score=67,,,auto:no_match_above_floor -> null climate
Dalifaghe Woreda,Afar Region,Zone 5 Zone,dalifaghe,[SUGGESTED] Dalefage|Afar/Hari /Zone 5|ET020504|score=82 ;; Dalefage|Afar/Hari /Zone 5|ET020504|score=82 ;; Dale|Sidama/Sidama|ET160004|score=77 ;; Alefa|Amhara/Central Gondar|ET031115|score=72,ET020504,ET020504,auto:suggested(82-87)
Dewe Woreda,Afar Region,Zone 5 Zone,dewe,Dewa Cheffa|Amhara/Oromia|ET031001|score=77 ;; Dewa Harewa|Amhara/Oromia|ET031005|score=77 ;; Dawe|Afar/Hari /Zone 5|ET020503|score=75,,ET020503,auto:in_region(score=75) -> Dawe
Semirobi Woreda,Afar Region,Zone 5 Zone,semirobi,Cobi|Oromia/West Shewa|ET040592|score=77 ;; Samurobi|Afar/Hari /Zone 5|ET020502|score=75 ;; Bui town|Central Ethiopia/Guraghe|ET070117|score=72,,ET020502,auto:in_region(score=75) -> Samurobi
Telalak Woreda,Afar Region,Zone 5 Zone,telalak,[SUGGESTED] Telalek|Afar/Hari /Zone 5|ET020501|score=85 ;; Telalek|Afar/Hari /Zone 5|ET020501|score=85 ;; Kelala town|Amhara/South Wello|ET030426|score=76 ;; Teltale|Oromia/Borena|ET041212|score=71,ET020501,ET020501,auto:suggested(82-87)
Adoado Woreda,Afar Region,Zone 6 Zone,adoado,Adola|Oromia/Guji|ET041403|score=72 ;; Dolo Ado|Somali/Liban|ET050902|score=71 ;; Adwa|Tigray/Central|ET010204|score=67,,,auto:no_match_above_floor -> null climate
Gereni Woreda,Afar Region,Zone 6 Zone,gereni,[SUGGESTED] Gerani|Afar/Awsi /Zone 1|ET020110|score=83 ;; Gerani|Afar/Awsi /Zone 1|ET020110|score=83 ;; Gera|Oromia/Jimma|ET040408|score=77 ;; Erebti|Afar/Kilbati /Zone2|ET020201|score=66,ET020110,ET020110,auto:suggested(82-87)
Kilelu Woreda,Afar Region,Zone 6 Zone,kilelu,Illu Galan|Oromia/West Shewa|ET040500|score=72 ;; Ilu|Oromia/South West Shewa|ET041305|score=72 ;; Lalo Kile|Oromia/Kelem Wellega|ET041811|score=72,,,auto:no_match_above_floor -> null climate
Sibaybi Woreda,Afar Region,Zone 6 Zone,sibaybi,Bui town|Central Ethiopia/Guraghe|ET070117|score=72 ;; Babo|Oromia/West Wellega|ET040111|score=67 ;; Zayi|Benishangul Gumz/Kamashi|ET060401|score=67,,,auto:no_match_above_floor -> null climate
Yangude Woreda,Afar Region,Zone 6 Zone,yangude,Sude|Oromia/Arsi|ET040808|score=77 ;; Gode|Somali/Shabelle|ET050604|score=67 ;; Gudetu Kondole|Oromia/West Wellega|ET040109|score=65,,,auto:no_match_above_floor -> null climate
Dangla Zuria Woreda,Amhara Region,Awi Zone,dangla zuria,[SUGGESTED] Dangila|Amhara/Awi|ET030901|score=83 ;; Dangila|Amhara/Awi|ET030901|score=83 ;; Dila Zuria|Southern Ethiopi/Gedeo|ET070505|score=81 ;; Dano|Oromia/West Shewa|ET040507|score=77,ET030901,ET030901,auto:suggested(82-87)
Fagitalekoma Woreda,Amhara Region,Awi Zone,fagitalekoma,[SUGGESTED] Fagta Lakoma|Amhara/Awi|ET030905|score=83 ;; Ale|Oromia/Ilu Aba Bora|ET040311|score=90 ;; Fagta Lakoma|Amhara/Awi|ET030905|score=83 ;; Homa|Oromia/West Wellega|ET040117|score=77,ET030905,ET030905,auto:suggested(82-87)
Cetral Armachiho Woreda,Amhara Region,Central Gondar Zone,cetral armachiho,Masero Denb /Central Armacho|Amhara/Central Gondar|ET031119|score=81 ;; Chiro town|Oromia/West Hararge|ET040905|score=72 ;; Cheta|South West Ethiopia/Kefa|ET110207|score=72,,ET031119,auto:in_region(score=81) -> Masero Denb /Central Armacho
Nebaru Chilga Woreda,Amhara Region,Central Gondar Zone,nebaru chilga,[SUGGESTED] Chilga 1|Amhara/Central Gondar|ET031106|score=85 ;; Chilga 1|Amhara/Central Gondar|ET031106|score=85 ;; Chilga 2|Amhara/Central Gondar|ET031112|score=85 ;; Chila|Tigray/Central|ET010201|score=76,ET031106,ET031106,auto:suggested(82-87)
Wogera Woreda,Amhara Region,Central Gondar Zone,wogera,[SUGGESTED] Fogera|Amhara/South Gondar|ET030203|score=83 ;; Gera|Oromia/Jimma|ET040408|score=90 ;; Fogera|Amhara/South Gondar|ET030203|score=83 ;; Wegera|Amhara/Central Gondar|ET031109|score=83,ET030203,ET030203,auto:suggested(82-87)
Debaytilatgin Woreda,Amhara Region,East Gojjam Zone,debaytilatgin,Debay Telatgen|Amhara/East Gojam|ET030607|score=81 ;; Debark|Amhara/North Gondar|ET030104|score=72 ;; Dera (AM)|Amhara/South Gondar|ET030209|score=67,,ET030607,auto:in_region(score=81) -> Debay Telatgen
Gozamin Woreda,Amhara Region,East Gojjam Zone,gozamin,Guzamn|Amhara/East Gojam|ET030610|score=76 ;; Gog|Gambela/Agnewak|ET120203|score=72 ;; Goma|Oromia/Jimma|ET040407|score=67,,ET030610,auto:in_region(score=76) -> Guzamn
Machakel Woreda,Amhara Region,East Gojjam Zone,machakel,[SUGGESTED] Michakel|Amhara/East Gojam|ET030609|score=87 ;; Michakel|Amhara/East Gojam|ET030609|score=87 ;; Aykel town|Amhara/Central Gondar|ET031199|score=80 ;; Mecha|Amhara/West Gojam|ET030704|score=72,ET030609,ET030609,auto:suggested(82-87)
Sedie Woreda,Amhara Region,East Gojjam Zone,sedie,Sede Muja|Amhara/South Gondar|ET030214|score=80 ;; Sedae|Amhara/East Gojam|ET030619|score=80 ;; Seden Sodo|Oromia/South West Shewa|ET041310|score=80,,ET030214,auto:in_region(score=80) -> Sede Muja
Sinan Woreda,Amhara Region,East Gojjam Zone,sinan,Sinana|Oromia/Bale|ET041109|score=90 ;; Borena /Debresina|Amhara/South Wello|ET030412|score=80 ;; Debre Sina town|Amhara/North Shewa (AM)|ET030527|score=80,,ET030412,auto:in_region(score=80) -> Borena /Debresina
Gonji Kollela Woreda,Amhara Region,North Gojjam zone,gonji kollela,Gonje|Amhara/West Gojam|ET030718|score=80 ;; Kelela|Amhara/South Wello|ET030413|score=72 ;; Gog|Gambela/Agnewak|ET120203|score=72,,ET030718,auto:in_region(score=80) -> Gonje
North Achefer Woreda,Amhara Region,North Gojjam zone,north achefer,North Ari|Southern Ethiopi/South Omo|ET070703|score=72 ;; Aheferom|Tigray/Central|ET010202|score=72 ;; Ferfer|Somali/Shabelle|ET050607|score=72,,ET030701,override: Semen Achefer (Semen=North in Amharic)
