Region,Zone,Woreda,Period,Latitude,Longitude,Elevation_m,MaxTemp_C,MinTemp_C,AvgTemp_C,Rainfall_mm,Humidity_pct,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,ADM3_PCODE,climate_source
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2025 Jul,9.0415,38.7063,2483.1,19.6,9.6,14.6,316.624,86.2,JgBKioqJo5h,Hamle 2017,27.0,100.0,581.0,17.18213058419244,2025-07-08,2025-08-06,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2025 Nov,9.0415,38.7063,2483.1,19.96,9.96,14.96,6.93,47.2,JgBKioqJo5h,Hidar 2018,50.0,143.0,845.0,16.90307328605201,2025-11-10,2025-12-09,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2025 Sept,9.0415,38.7063,2483.1,19.46,9.46,14.46,183.429,77.3,JgBKioqJo5h,Meskerem 2018,22.0,82.0,657.0,12.462006079027356,2025-09-11,2025-10-10,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2025 Aug,9.0415,38.7063,2483.1,19.21,9.21,14.21,325.552,86.5,JgBKioqJo5h,Nehase 2017,32.0,74.0,646.0,11.43740340030912,2025-08-07,2025-09-05,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2025 Dec,9.0415,38.7063,2483.1,20.23,10.23,15.23,9.697,49.7,JgBKioqJo5h,Tahesas 2018,34.0,121.0,677.0,17.846607669616517,2025-12-10,2026-01-08,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2025 Oct,9.0415,38.7063,2483.1,19.52,9.52,14.52,19.719,57.5,JgBKioqJo5h,Tikemet 2018,100.0,182.0,1054.0,17.251184834123222,2025-10-11,2025-11-09,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2026 Jan,9.0415,38.7063,2483.1,20.55,10.55,15.55,11.341,43.0,JgBKioqJo5h,Tir 2018,79.0,75.0,560.0,13.368983957219251,2026-01-09,2026-02-07,ET140108,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2025 Jul,8.8968,38.804,2159.8,21.1,11.1,16.1,247.841,84.6,IRwFTUG9H8c,Hamle 2017,30.0,107.0,515.0,20.73643410852713,2025-07-08,2025-08-06,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2025 Nov,8.8968,38.804,2159.8,21.31,11.31,16.31,3.34,46.7,IRwFTUG9H8c,Hidar 2018,136.0,104.0,762.0,13.630406290956753,2025-11-10,2025-12-09,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2025 Sept,8.8968,38.804,2159.8,20.99,10.99,15.99,150.722,75.9,IRwFTUG9H8c,Meskerem 2018,60.0,89.0,793.0,11.209068010075567,2025-09-11,2025-10-10,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2025 Aug,8.8968,38.804,2159.8,20.66,10.66,15.66,289.529,85.3,IRwFTUG9H8c,Nehase 2017,46.0,80.0,661.0,12.084592145015106,2025-08-07,2025-09-05,ET140101,direct
