ADM3_PCODE,Eth_Month_Year,Latitude,Longitude,Elevation_m,MaxTemp_C,MinTemp_C,AvgTemp_C,Rainfall_mm,Humidity_pct
ET010101,Ginbot 2014,14.3964,37.7188,1023.0,36.27,26.27,31.27,47.56575121374778,21.6
ET010101,Hamle 2013,14.3964,37.7188,1023.0,28.96,18.96,23.96,212.4862495323412,68.4
ET010101,Hidar 2014,14.3964,37.7188,1023.0,32.11,22.11,27.11,8.28391229079576,25.6
ET010101,Megabit 2014,14.3964,37.7188,1023.0,34.94,24.94,29.94,8.487295285609619,19.5
ET010101,Meskerem 2014,14.3964,37.7188,1023.0,30.66,20.66,25.66,139.03011203026273,53.4
ET010101,Miazia 2014,14.3964,37.7188,1023.0,36.61,26.61,31.61,17.499547426447663,18.2
ET010101,Nehase 2013,14.3964,37.7188,1023.0,28.58,18.58,23.58,193.3226598873462,74.1
ET010101,Sene 2014,14.3964,37.7188,1023.0,32.36,22.36,27.36,170.4807470611109,44.0
ET010101,Tahesas 2014,14.3964,37.7188,1023.0,30.66,20.66,25.66,1.7591003783327186,26.9
ET010101,Tikemet 2014,14.3964,37.7188,1023.0,32.79,22.79,27.79,35.80358415812323,30.0
ET010101,Tir 2014,14.3964,37.7188,1023.0,30.51,20.51,25.51,3.3915964195725925,28.6
ET010101,Yekatit 2014,14.3964,37.7188,1023.0,32.4,22.4,27.4,2.6026195200091387,26.0
ET010101,Ginbot 2015,14.3964,37.7188,1023.0,35.46,25.46,30.46,66.1094556603169,25.5
ET010101,Hamle 2014,14.3964,37.7188,1023.0,27.8,17.8,22.8,241.0242039408048,76.2
ET010101,Hidar 2015,14.3964,37.7188,1023.0,31.05,21.05,26.05,6.472145947785246,28.0
ET010101,Megabit 2015,14.3964,37.7188,1023.0,33.55,23.55,28.55,9.132133458345455,17.5
ET010101,Meskerem 2015,14.3964,37.7188,1023.0,29.84,19.84,24.84,95.34264623863764,59.4
ET010101,Miazia 2015,14.3964,37.7188,1023.0,35.6,25.6,30.6,19.517761740617377,19.1
ET010101,Nehase 2014,14.3964,37.7188,1023.0,27.42,17.42,22.42,187.75819030768483,79.8
ET010101,Sene 2015,14.3964,37.7188,1023.0,32.78,22.78,27.78,182.25430185470017,46.2
ET010101,Tahesas 2015,14.3964,37.7188,1023.0,29.76,19.76,24.76,1.947593798064932,30.5
ET010101,Tikemet 2015,14.3964,37.7188,1023.0,31.71,21.71,26.71,24.517617378704244,34.5
ET010101,Tir 2015,14.3964,37.7188,1023.0,30.73,20.73,25.73,3.76666384723284,28.3
ET010101,Yekatit 2015,14.3964,37.7188,1023.0,32.02,22.02,27.02,3.143094309231828,20.9
ET010101,Ginbot 2016,14.3964,37.7188,1023.0,36.41,26.41,31.41,73.05718401854008,25.5
ET010101,Hamle 2015,14.3964,37.7188,1023.0,31.88,21.88,26.88,198.92723488942468,52.8
ET010101,Hidar 2016,14.3964,37.7188,1023.0,32.26,22.26,27.26,12.259733591860964,32.3
ET010101,Megabit 2016,14.3964,37.7188,1023.0,35.17,25.17,30.17,7.917913047723715,19.0
ET010101,Meskerem 2016,14.3964,37.7188,1023.0,33.38,23.38,28.38,105.80427865579271,38.8
ET010101,Miazia 2016,14.3964,37.7188,1023.0,36.49,26.49,31.49,14.48729265638207,17.3
ET010101,Nehase 2015,14.3964,37.7188,1023.0,30.62,20.62,25.62,162.14479755570335,61.9
ET010101,Sene 2016,14.3964,37.7188,1023.0,33.12,23.12,28.12,207.5510526869596,44.7
ET010101,Tahesas 2016,14.3964,37.7188,1023.0,31.27,21.27,26.27,1.2423277824155745,28.0
ET010101,Tikemet 2016,14.3964,37.7188,1023.0,33.68,23.68,28.68,30.54056888635718,32.2
ET010101,Tir 2016,14.3964,37.7188,1023.0,30.83,20.83,25.83,2.221173286711395,28.4
ET010101,Yekatit 2016,14.3964,37.7188,1023.0,32.73,22.73,27.73,3.206219452780247,21.5
