orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,Period
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Ginbot 2014,10.0,23.0,283.0,8.098591549295776,2022-05-09,2022-06-07,2022 May
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Hamle 2013,3.0,16.0,183.0,8.695652173913043,2021-07-08,2021-08-06,2021 Jul
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Hidar 2014,2.0,15.0,229.0,6.521739130434782,2021-11-10,2021-12-09,2021 Nov
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Megabit 2014,6.0,33.0,257.0,12.790697674418606,2022-03-10,2022-04-08,2022 Mar
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Meskerem 2014,0.0,26.0,225.0,11.50442477876106,2021-09-11,2021-10-10,2021 Sept
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Miazia 2014,19.0,20.0,250.0,7.968127490039841,2022-04-09,2022-05-08,2022 Apr
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Nehase 2013,2.0,22.0,222.0,9.865470852017935,2021-08-07,2021-09-05,2021 Aug
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Sene 2014,5.0,43.0,322.0,13.312693498452012,2022-06-08,2022-07-07,2022 Jun
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tahesas 2014,6.0,17.0,214.0,7.906976744186046,2021-12-10,2022-01-08,2021 Dec
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tikemet 2014,2.0,24.0,287.0,8.333333333333332,2021-10-11,2021-11-09,2021 Oct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tir 2014,6.0,21.0,213.0,9.813084112149532,2022-01-09,2022-02-07,2022 Jan
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Yekatit 2014,2.0,23.0,209.0,10.952380952380953,2022-02-08,2022-03-09,2022 Feb
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Ginbot 2014,0.0,25.0,222.0,11.210762331838566,2022-05-09,2022-06-07,2022 May
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Hamle 2013,0.0,13.0,117.0,11.016949152542372,2021-07-08,2021-08-06,2021 Jul
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Hidar 2014,0.0,22.0,262.0,8.365019011406844,2021-11-10,2021-12-09,2021 Nov
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Megabit 2014,0.0,18.0,215.0,8.333333333333332,2022-03-10,2022-04-08,2022 Mar
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Meskerem 2014,0.0,17.0,173.0,9.770114942528735,2021-09-11,2021-10-10,2021 Sept
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Miazia 2014,4.0,14.0,207.0,6.730769230769231,2022-04-09,2022-05-08,2022 Apr
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Nehase 2013,1.0,9.0,120.0,7.43801652892562,2021-08-07,2021-09-05,2021 Aug
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Sene 2014,3.0,48.0,297.0,16.10738255033557,2022-06-08,2022-07-07,2022 Jun
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tahesas 2014,4.0,12.0,203.0,5.88235294117647,2021-12-10,2022-01-08,2021 Dec
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tikemet 2014,4.0,22.0,193.0,11.34020618556701,2021-10-11,2021-11-09,2021 Oct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tir 2014,2.0,17.0,180.0,9.392265193370166,2022-01-09,2022-02-07,2022 Jan
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Yekatit 2014,0.0,18.0,202.0,8.866995073891626,2022-02-08,2022-03-09,2022 Feb
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Ginbot 2014,1.0,17.0,106.0,15.887850467289718,2022-05-09,2022-06-07,2022 May
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Hamle 2013,0.0,9.0,54.0,16.363636363636363,2021-07-08,2021-08-06,2021 Jul
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Hidar 2014,0.0,7.0,82.0,8.433734939759036,2021-11-10,2021-12-09,2021 Nov
