feature,mean_abs_shap,mean_shap
positivity_rate_lag1,0.36344028533646905,0.06644214913511888
Zone,0.10880847201566987,0.0012672406362935556
month_index,0.04748055079461534,0.047477123399370484
positivity_rate_lag2,0.04396654664090047,0.005778740888436515
organisationunitid,0.040651665639545906,-8.028141667096634e-05
ADM3_PCODE,0.0302766483511562,0.0020242452591959256
g_month_cos,0.022958365879107642,-0.00837034217062518
tests_lag1,0.021910472386695107,-0.01105956689077931
positive_lag1,0.02075876625390128,0.004094003988175265
Rainfall_mm_lag3,0.01744382449716961,0.00424349992062547
Travel,0.0110224534457134,0.005821504653449519
Rainfall_mm_roll3_mean,0.0068687792935936895,0.0014815649694073598
positivity_rate_lag3,0.00670476900692618,0.00012840949738593166
Rainfall_mm_lag1,0.003715948687011166,-0.0004577147216608063
Rainfall_mm_lag2,0.0033673527244568605,0.0008027825718719113
Humidity_pct_lag1,0.002228037455149408,-0.0002851307235905244
g_month,0.0020724882778101372,0.001185560044398119
rainfall_anomaly,0.0019381518935778883,-0.0004655782268443957
Longitude,0.0018728669065348946,7.204654969643974e-05
ec_month,0.0018138551525430625,-1.1956092891818099e-05
Humidity_pct,0.001767920170428685,0.00021890948017472744
Rainfall_mm,0.0016287611262271959,-0.0002682693539350585
baseline_rainfall,0.0015349700919513158,0.00022273080196670992
Humidity_pct_lag3,0.001531341429694946,0.00019157570035453653
baseline_avgtemp,0.0015234994708212143,-0.00016401944386846288
Rainfall_mm_roll3_sum,0.0014288734264033918,0.0002747794263970208
tests_lag3,0.0013725096184168614,-0.0004955064187791241
Humidity_pct_lag2,0.001256494661444078,0.00044065390044033167
g_year,0.0011483664613338277,0.0011481445168485933
positive_lag2,0.0010237731798032673,0.0005691126078882963
AvgTemp_C_lag1,0.0009406043606130182,-0.00010972445278788402
positive_lag3,0.0009082554334354485,0.0004545088352782447
AvgTemp_C_roll6_mean,0.0008949942954986107,-5.3112627439274584e-05
g_month_sin,0.000844137712002625,0.0006573614341883319
AvgTemp_C_lag2,0.0007860591282655912,-9.75141550653784e-05
tests_lag2,0.0006815868965498054,-0.0002824359624278436
temp_anomaly,0.0005976972742169454,-4.210652624618547e-05
Humidity_pct_roll6_mean,0.0005272109694896886,1.810869085102867e-05
Latitude,0.00048997517077113,4.6312464106274855e-05
Elevation_m,0.00037592947418710717,-4.512012075805319e-05
Rainfall_mm_roll6_mean,0.00037172928165832243,-2.6903071959871906e-05
Humidity_pct_roll3_mean,0.0003569058778947098,0.00015457452929813173
MaxTemp_C_roll6_mean,0.00029892901983299703,5.991154589247201e-06
AvgTemp_C_lag3,0.00029528274673197764,-4.7026893022787105e-06
MaxTemp_C,0.00021533216929430648,3.766633271043673e-05
AvgTemp_C_roll3_mean,0.0001797215052051212,-5.363288250908546e-05
MaxTemp_C_roll3_mean,0.00013034290285928208,-1.194979473946765e-05
MinTemp_C,0.00012915814498210275,5.829975986729903e-06
MaxTemp_C_lag2,0.00010200330167956024,-8.605059371823648e-06
MinTemp_C_roll6_mean,7.521941514021139e-05,2.6193552176731617e-05
MaxTemp_C_lag1,7.058448219448292e-05,6.91323256580425e-06
region_South Ethiopia Region,5.8412197000664834e-05,2.5736318965687e-06
MinTemp_C_roll3_mean,5.224489134402292e-05,-3.4074576273045296e-06
region_Oromia Region,3.3791981419461665e-05,-4.341180586496378e-06
MaxTemp_C_lag3,2.971216019029836e-05,2.242444032638072e-06
MinTemp_C_lag2,2.714315167364469e-05,2.411740814831308e-07
region_South West Ethiopia Region,2.2573934551340546e-05,-6.73097396185507e-06
region_Central Ethiopian Region,1.7057744788949375e-05,-4.3193720749656885e-06
AvgTemp_C,1.6926174458013835e-05,-1.1923454834324249e-05
MinTemp_C_lag1,1.528489854378721e-05,1.5691456055851692e-06
MinTemp_C_lag3,9.607732339983306e-06,-1.1445247085670492e-06
region_Dire Dawa City Administration,2.9149023971952664e-06,-1.887590332396388e-06
region_Afar Region,2.8586778856585037e-06,-2.2196443217987512e-07
region_Benishangul Gumuz Region,0.0,0.0
region_Amhara Region,0.0,0.0
region_Gambella Region,0.0,0.0
region_Harari Region,0.0,0.0
region_Addis Ababa City Administration,0.0,0.0
region_Sidama Region,0.0,0.0
region_Somali Region,0.0,0.0
is_highland,0.0,0.0
is_warm,0.0,0.0
region_Tigray Region,0.0,0.0
csrc_direct,0.0,0.0
csrc_imp_r_m,0.0,0.0
csrc_imp_z_m,0.0,0.0
