orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Ginbot 2015,13.0,42.0,443.0,9.45945945945946
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Hamle 2014,4.0,26.0,369.0,7.027027027027027
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Hidar 2015,3.0,27.0,416.0,6.474820143884892
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Megabit 2015,8.0,64.0,528.0,12.098298676748582
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Meskerem 2015,0.0,47.0,402.0,11.662531017369728
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Miazia 2015,25.0,43.0,524.0,8.190476190476192
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Nehase 2014,4.0,42.0,379.0,11.052631578947368
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Sene 2015,8.0,75.0,667.0,11.22754491017964
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tahesas 2015,7.0,34.0,396.0,8.564231738035264
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tikemet 2015,3.0,45.0,573.0,7.8397212543554
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tir 2015,8.0,44.0,329.0,13.333333333333334
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Yekatit 2015,3.0,49.0,423.0,11.556603773584905
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Ginbot 2015,0.0,43.0,412.0,10.411622276029057
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Hamle 2014,0.0,27.0,260.0,10.344827586206897
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Hidar 2015,0.0,43.0,460.0,9.327548806941431
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Megabit 2015,0.0,37.0,403.0,9.158415841584159
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Meskerem 2015,0.0,29.0,312.0,9.26517571884984
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Miazia 2015,5.0,22.0,325.0,6.748466257668712
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Nehase 2014,1.0,20.0,224.0,8.88888888888889
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Sene 2015,4.0,84.0,481.0,17.42738589211618
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tahesas 2015,6.0,22.0,369.0,5.9459459459459465
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tikemet 2015,4.0,47.0,303.0,15.460526315789474
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tir 2015,2.0,40.0,379.0,10.526315789473683
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Yekatit 2015,0.0,40.0,363.0,10.989010989010989
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Ginbot 2015,1.0,35.0,204.0,17.073170731707318
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Hamle 2014,0.0,16.0,92.0,17.20430107526882
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Hidar 2015,0.0,12.0,123.0,9.67741935483871
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Megabit 2015,1.0,22.0,163.0,13.414634146341465
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Meskerem 2015,0.0,22.0,142.0,15.384615384615385
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Miazia 2015,2.0,25.0,166.0,14.97005988023952
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Nehase 2014,0.0,17.0,131.0,12.878787878787879
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Sene 2015,2.0,36.0,225.0,15.929203539823009
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tahesas 2015,0.0,13.0,139.0,9.285714285714286
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tikemet 2015,12.0,15.0,123.0,12.096774193548388
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tir 2015,2.0,20.0,101.0,19.607843137254903
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Yekatit 2015,1.0,20.0,148.0,13.422818791946309
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Ginbot 2015,9.0,42.0,520.0,8.061420345489443
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Hamle 2014,11.0,38.0,244.0,15.510204081632653
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Hidar 2015,3.0,50.0,398.0,12.531328320802004
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Megabit 2015,12.0,35.0,247.0,14.112903225806454
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Meskerem 2015,3.0,34.0,289.0,11.724137931034482
